From;FromProperty;FromValue;To;ToProperty;ToValue;Name;Cardinalities
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Local  L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Local  L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Local  L5;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Pasillo A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Pasillo A202;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Pasillo Piso2 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Patio L4;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Rincon  L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Rincon  L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Guardaescobas;PhysicalAreas;name;Guardascoba Sala Comedor A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Portones;PhysicalAreas;name;Marco  Porton Local  L1;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marco Vacios;PhysicalAreas;name;Marco Ingreso Escalera Piso1 CR23;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Portones;PhysicalAreas;name;Marco Porton Local L2;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Portones;PhysicalAreas;name;Marco Porton Local L3;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Portones;PhysicalAreas;name;Marco Porton Local L5;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta A201;;Uno a Muchos Bidirecccional No.5
PhysicalAreasTypes;name;Marcos Puertas;PhysicalAreas;name;Marco Puerta A202;;Uno a Muchos Bidirecccional No.5
